sid,x,y,UpperDepth,LowerDepth,Attribute,Val
10674,142.9723428,-35.77042213,0,5,AWC,11.87040329
10674,142.9723428,-35.77042213,5,15,AWC,12.13653088
10674,142.9723428,-35.77042213,15,30,AWC,12.60935307
10674,142.9723428,-35.77042213,30,60,AWC,12.85740376
10674,142.9723428,-35.77042213,60,100,AWC,12.75383282
10674,142.9723428,-35.77042213,100,200,AWC,12.40649223
10674,142.9723428,-35.77042213,0,5,BDW,1.429695845
10674,142.9723428,-35.77042213,5,15,BDW,1.4559865
10674,142.9723428,-35.77042213,15,30,BDW,1.471630454
10674,142.9723428,-35.77042213,30,60,BDW,1.455519319
10674,142.9723428,-35.77042213,60,100,BDW,1.483349681
10674,142.9723428,-35.77042213,100,200,BDW,1.510399103
10674,142.9723428,-35.77042213,0,5,CLY,15.54778767
10674,142.9723428,-35.77042213,5,15,CLY,17.47568512
10674,142.9723428,-35.77042213,15,30,CLY,22.43203354
10674,142.9723428,-35.77042213,30,60,CLY,27.28666496
10674,142.9723428,-35.77042213,60,100,CLY,29.93104172
10674,142.9723428,-35.77042213,100,200,CLY,29.94334984
10674,142.9723428,-35.77042213,0,999,DER,94.36831665
10674,142.9723428,-35.77042213,0,5,DES,1
10674,142.9723428,-35.77042213,0,200,DES,1.170317292
10674,142.9723428,-35.77042213,5,15,DES,1
10674,142.9723428,-35.77042213,15,30,DES,1
10674,142.9723428,-35.77042213,30,60,DES,1
10674,142.9723428,-35.77042213,60,100,DES,1
10674,142.9723428,-35.77042213,100,200,DES,1
10674,142.9723428,-35.77042213,0,5,ECE,23.87228394
10674,142.9723428,-35.77042213,5,15,ECE,23.51040649
10674,142.9723428,-35.77042213,15,30,ECE,23.11739731
10674,142.9723428,-35.77042213,30,60,ECE,24.61948586
10674,142.9723428,-35.77042213,60,100,ECE,26.21456909
10674,142.9723428,-35.77042213,100,200,ECE,28.54846191
10674,142.9723428,-35.77042213,0,5,pHc,7.626616955
10674,142.9723428,-35.77042213,5,15,pHc,7.757761002
10674,142.9723428,-35.77042213,15,30,pHc,8.050644875
10674,142.9723428,-35.77042213,30,60,pHc,8.381818771
10674,142.9723428,-35.77042213,60,100,pHc,8.598218918
10674,142.9723428,-35.77042213,100,200,pHc,8.630017281
10674,142.9723428,-35.77042213,0,5,SND,70.82821655
10674,142.9723428,-35.77042213,5,15,SND,69.12992859
10674,142.9723428,-35.77042213,15,30,SND,64.53126526
10674,142.9723428,-35.77042213,30,60,SND,59.68386459
10674,142.9723428,-35.77042213,60,100,SND,57.2700386
10674,142.9723428,-35.77042213,100,200,SND,56.09805679
10674,142.9723428,-35.77042213,0,5,SLT,6.514036179
10674,142.9723428,-35.77042213,5,15,SLT,6.486354828
10674,142.9723428,-35.77042213,15,30,SLT,6.218408108
10674,142.9723428,-35.77042213,30,60,SLT,5.887192249
10674,142.9723428,-35.77042213,60,100,SLT,5.977832794
10674,142.9723428,-35.77042213,100,200,SLT,6.492706299
10674,142.9723428,-35.77042213,0,5,SOC,1.106500506
10674,142.9723428,-35.77042213,5,15,SOC,0.632152259
10674,142.9723428,-35.77042213,15,30,SOC,0.387592345
10674,142.9723428,-35.77042213,30,60,SOC,0.386125445
10674,142.9723428,-35.77042213,60,100,SOC,0.255716801
10674,142.9723428,-35.77042213,100,200,SOC,0.167056531
10674,142.9723428,-35.77042213,0,5,NTO,0.079200365
10674,142.9723428,-35.77042213,5,15,NTO,0.067775905
10674,142.9723428,-35.77042213,15,30,NTO,0.047867183
10674,142.9723428,-35.77042213,30,60,NTO,0.032387331
10674,142.9723428,-35.77042213,60,100,NTO,0.023258414
10674,142.9723428,-35.77042213,100,200,NTO,0.019572148
10674,142.9723428,-35.77042213,0,5,PTO,0.024753867
10674,142.9723428,-35.77042213,5,15,PTO,0.023763042
10674,142.9723428,-35.77042213,15,30,PTO,0.021202361
10674,142.9723428,-35.77042213,30,60,PTO,0.019590396
10674,142.9723428,-35.77042213,60,100,PTO,0.020039953
10674,142.9723428,-35.77042213,100,200,PTO,0.01837955
27381,143.001438,-35.77762933,0,5,AWC,13.68688107
27381,143.001438,-35.77762933,5,15,AWC,13.91001701
27381,143.001438,-35.77762933,15,30,AWC,14.31443405
27381,143.001438,-35.77762933,30,60,AWC,14.40029812
27381,143.001438,-35.77762933,60,100,AWC,14.1480484
27381,143.001438,-35.77762933,100,200,AWC,13.62862396
27381,143.001438,-35.77762933,0,5,BDW,1.377723098
27381,143.001438,-35.77762933,5,15,BDW,1.404101729
27381,143.001438,-35.77762933,15,30,BDW,1.420618296
27381,143.001438,-35.77762933,30,60,BDW,1.404645801
27381,143.001438,-35.77762933,60,100,BDW,1.432955265
27381,143.001438,-35.77762933,100,200,BDW,1.461221099
27381,143.001438,-35.77762933,0,5,CLY,28.24055862
27381,143.001438,-35.77762933,5,15,CLY,30.6961422
27381,143.001438,-35.77762933,15,30,CLY,36.4295578
27381,143.001438,-35.77762933,30,60,CLY,39.12610245
27381,143.001438,-35.77762933,60,100,CLY,40.54151917
27381,143.001438,-35.77762933,100,200,CLY,39.55588531
27381,143.001438,-35.77762933,0,999,DER,95.55219269
27381,143.001438,-35.77762933,0,5,DES,1
27381,143.001438,-35.77762933,0,200,DES,1.162288666
27381,143.001438,-35.77762933,5,15,DES,1
27381,143.001438,-35.77762933,15,30,DES,1
27381,143.001438,-35.77762933,30,60,DES,1
27381,143.001438,-35.77762933,60,100,DES,1
27381,143.001438,-35.77762933,100,200,DES,1
27381,143.001438,-35.77762933,0,5,ECE,22.47429276
27381,143.001438,-35.77762933,5,15,ECE,22.10886765
27381,143.001438,-35.77762933,15,30,ECE,21.70565033
27381,143.001438,-35.77762933,30,60,ECE,23.05688858
27381,143.001438,-35.77762933,60,100,ECE,24.48093987
27381,143.001438,-35.77762933,100,200,ECE,26.42499161
27381,143.001438,-35.77762933,0,5,pHc,7.595133305
27381,143.001438,-35.77762933,5,15,pHc,7.735274792
27381,143.001438,-35.77762933,15,30,pHc,8.016249657
27381,143.001438,-35.77762933,30,60,pHc,8.306377411
27381,143.001438,-35.77762933,60,100,pHc,8.519422531
27381,143.001438,-35.77762933,100,200,pHc,8.56820488
27381,143.001438,-35.77762933,0,5,SND,57.43151855
27381,143.001438,-35.77762933,5,15,SND,54.92495728
27381,143.001438,-35.77762933,15,30,SND,49.07055664
27381,143.001438,-35.77762933,30,60,SND,40.5169487
27381,143.001438,-35.77762933,60,100,SND,37.15122604
27381,143.001438,-35.77762933,100,200,SND,38.20485687
27381,143.001438,-35.77762933,0,5,SLT,8.39313221
27381,143.001438,-35.77762933,5,15,SLT,8.346969604
27381,143.001438,-35.77762933,15,30,SLT,8.020953178
27381,143.001438,-35.77762933,30,60,SLT,7.593167305
27381,143.001438,-35.77762933,60,100,SLT,7.629596233
27381,143.001438,-35.77762933,100,200,SLT,8.05264473
27381,143.001438,-35.77762933,0,5,SOC,1.479243279
27381,143.001438,-35.77762933,5,15,SOC,0.914847076
27381,143.001438,-35.77762933,15,30,SOC,0.607725501
27381,143.001438,-35.77762933,30,60,SOC,0.415768504
27381,143.001438,-35.77762933,60,100,SOC,0.269743949
27381,143.001438,-35.77762933,100,200,SOC,0.170609057
27381,143.001438,-35.77762933,0,5,NTO,0.089270025
27381,143.001438,-35.77762933,5,15,NTO,0.075389676
27381,143.001438,-35.77762933,15,30,NTO,0.051138557
27381,143.001438,-35.77762933,30,60,NTO,0.033853982
27381,143.001438,-35.77762933,60,100,NTO,0.023258539
27381,143.001438,-35.77762933,100,200,NTO,0.019824157
27381,143.001438,-35.77762933,0,5,PTO,0.021472584
27381,143.001438,-35.77762933,5,15,PTO,0.020651894
27381,143.001438,-35.77762933,15,30,PTO,0.018481417
27381,143.001438,-35.77762933,30,60,PTO,0.016768776
27381,143.001438,-35.77762933,60,100,PTO,0.015946724
27381,143.001438,-35.77762933,100,200,PTO,0.013828146
28896,143.0030544,-35.77828453,0,5,AWC,12.91582203
28896,143.0030544,-35.77828453,5,15,AWC,13.16216373
28896,143.0030544,-35.77828453,15,30,AWC,13.58328342
28896,143.0030544,-35.77828453,30,60,AWC,13.67869568
28896,143.0030544,-35.77828453,60,100,AWC,13.48954391
28896,143.0030544,-35.77828453,100,200,AWC,13.05184078
28896,143.0030544,-35.77828453,0,5,BDW,1.380158544
28896,143.0030544,-35.77828453,5,15,BDW,1.407138467
28896,143.0030544,-35.77828453,15,30,BDW,1.424245596
28896,143.0030544,-35.77828453,30,60,BDW,1.408528924
28896,143.0030544,-35.77828453,60,100,BDW,1.437336802
28896,143.0030544,-35.77828453,100,200,BDW,1.466822028
28896,143.0030544,-35.77828453,0,5,CLY,28.43675423
28896,143.0030544,-35.77828453,5,15,CLY,30.9225502
28896,143.0030544,-35.77828453,15,30,CLY,36.69247055
28896,143.0030544,-35.77828453,30,60,CLY,40.03842926
28896,143.0030544,-35.77828453,60,100,CLY,41.31964874
28896,143.0030544,-35.77828453,100,200,CLY,40.08364868
28896,143.0030544,-35.77828453,0,999,DER,96.08054352
28896,143.0030544,-35.77828453,0,5,DES,1
28896,143.0030544,-35.77828453,0,200,DES,1.169643402
28896,143.0030544,-35.77828453,5,15,DES,1
28896,143.0030544,-35.77828453,15,30,DES,1
28896,143.0030544,-35.77828453,30,60,DES,1
28896,143.0030544,-35.77828453,60,100,DES,1
28896,143.0030544,-35.77828453,100,200,DES,1
28896,143.0030544,-35.77828453,0,5,ECE,23.11148834
28896,143.0030544,-35.77828453,5,15,ECE,22.74494934
28896,143.0030544,-35.77828453,15,30,ECE,22.34634781
28896,143.0030544,-35.77828453,30,60,ECE,23.75301743
28896,143.0030544,-35.77828453,60,100,ECE,25.26251984
28896,143.0030544,-35.77828453,100,200,ECE,27.40392494
28896,143.0030544,-35.77828453,0,5,pHc,7.62039423
28896,143.0030544,-35.77828453,5,15,pHc,7.759415627
28896,143.0030544,-35.77828453,15,30,pHc,8.029097557
28896,143.0030544,-35.77828453,30,60,pHc,8.293869972
28896,143.0030544,-35.77828453,60,100,pHc,8.510602951
28896,143.0030544,-35.77828453,100,200,pHc,8.557023048
28896,143.0030544,-35.77828453,0,5,SND,55.4413147
28896,143.0030544,-35.77828453,5,15,SND,52.97587204
28896,143.0030544,-35.77828453,15,30,SND,47.18980026
28896,143.0030544,-35.77828453,30,60,SND,38.96524048
28896,143.0030544,-35.77828453,60,100,SND,36.69614029
28896,143.0030544,-35.77828453,100,200,SND,37.95751572
28896,143.0030544,-35.77828453,0,5,SLT,7.954058647
28896,143.0030544,-35.77828453,5,15,SLT,7.907181263
28896,143.0030544,-35.77828453,15,30,SLT,7.586957455
28896,143.0030544,-35.77828453,30,60,SLT,7.16506815
28896,143.0030544,-35.77828453,60,100,SLT,7.193947315
28896,143.0030544,-35.77828453,100,200,SLT,7.590210915
28896,143.0030544,-35.77828453,0,5,SOC,1.449695468
28896,143.0030544,-35.77828453,5,15,SOC,0.927114964
28896,143.0030544,-35.77828453,15,30,SOC,0.617347717
28896,143.0030544,-35.77828453,30,60,SOC,0.407276541
28896,143.0030544,-35.77828453,60,100,SOC,0.264627099
28896,143.0030544,-35.77828453,100,200,SOC,0.167569637
28896,143.0030544,-35.77828453,0,5,NTO,0.088560134
28896,143.0030544,-35.77828453,5,15,NTO,0.0747803
28896,143.0030544,-35.77828453,15,30,NTO,0.051946983
28896,143.0030544,-35.77828453,30,60,NTO,0.034394052
28896,143.0030544,-35.77828453,60,100,NTO,0.023352167
28896,143.0030544,-35.77828453,100,200,NTO,0.0198645
28896,143.0030544,-35.77828453,0,5,PTO,0.022662545
28896,143.0030544,-35.77828453,5,15,PTO,0.021785498
28896,143.0030544,-35.77828453,15,30,PTO,0.01944783
28896,143.0030544,-35.77828453,30,60,PTO,0.017586213
28896,143.0030544,-35.77828453,60,100,PTO,0.016691018
28896,143.0030544,-35.77828453,100,200,PTO,0.014479083
30979,143.0221818,-35.77915813,0,5,AWC,11.71730137
30979,143.0221818,-35.77915813,5,15,AWC,12.0125103
30979,143.0221818,-35.77915813,15,30,AWC,12.54639912
30979,143.0221818,-35.77915813,30,60,AWC,12.67666721
30979,143.0221818,-35.77915813,60,100,AWC,12.53760624
30979,143.0221818,-35.77915813,100,200,AWC,12.18749905
30979,143.0221818,-35.77915813,0,5,BDW,1.40202415
30979,143.0221818,-35.77915813,5,15,BDW,1.428544044
30979,143.0221818,-35.77915813,15,30,BDW,1.444903731
30979,143.0221818,-35.77915813,30,60,BDW,1.432342649
30979,143.0221818,-35.77915813,60,100,BDW,1.46059227
30979,143.0221818,-35.77915813,100,200,BDW,1.489050984
30979,143.0221818,-35.77915813,0,5,CLY,24.12196159
30979,143.0221818,-35.77915813,5,15,CLY,26.08352089
30979,143.0221818,-35.77915813,15,30,CLY,30.82498741
30979,143.0221818,-35.77915813,30,60,CLY,35.29530716
30979,143.0221818,-35.77915813,60,100,CLY,37.17900848
30979,143.0221818,-35.77915813,100,200,CLY,36.7518425
30979,143.0221818,-35.77915813,0,999,DER,90.95085907
30979,143.0221818,-35.77915813,0,5,DES,1
30979,143.0221818,-35.77915813,0,200,DES,1.110685229
30979,143.0221818,-35.77915813,5,15,DES,1
30979,143.0221818,-35.77915813,15,30,DES,1
30979,143.0221818,-35.77915813,30,60,DES,1
30979,143.0221818,-35.77915813,60,100,DES,1
30979,143.0221818,-35.77915813,100,200,DES,1
30979,143.0221818,-35.77915813,0,5,ECE,21.60423851
30979,143.0221818,-35.77915813,5,15,ECE,21.29119492
30979,143.0221818,-35.77915813,15,30,ECE,20.95131302
30979,143.0221818,-35.77915813,30,60,ECE,22.34037018
30979,143.0221818,-35.77915813,60,100,ECE,23.85538673
30979,143.0221818,-35.77915813,100,200,ECE,26.15353203
30979,143.0221818,-35.77915813,0,5,pHc,7.572706223
30979,143.0221818,-35.77915813,5,15,pHc,7.709416866
30979,143.0221818,-35.77915813,15,30,pHc,7.979786873
30979,143.0221818,-35.77915813,30,60,pHc,8.30417347
30979,143.0221818,-35.77915813,60,100,pHc,8.532122612
30979,143.0221818,-35.77915813,100,200,pHc,8.578897476
30979,143.0221818,-35.77915813,0,5,SND,62.70830154
30979,143.0221818,-35.77915813,5,15,SND,60.56464386
30979,143.0221818,-35.77915813,15,30,SND,55.2648201
30979,143.0221818,-35.77915813,30,60,SND,48.58710098
30979,143.0221818,-35.77915813,60,100,SND,45.73379135
30979,143.0221818,-35.77915813,100,200,SND,45.62141037
30979,143.0221818,-35.77915813,0,5,SLT,6.619678974
30979,143.0221818,-35.77915813,5,15,SLT,6.584299564
30979,143.0221818,-35.77915813,15,30,SLT,6.303571224
30979,143.0221818,-35.77915813,30,60,SLT,5.948187351
30979,143.0221818,-35.77915813,60,100,SLT,6.010846138
30979,143.0221818,-35.77915813,100,200,SLT,6.45881319
30979,143.0221818,-35.77915813,0,5,SOC,1.34781909
30979,143.0221818,-35.77915813,5,15,SOC,0.815448642
30979,143.0221818,-35.77915813,15,30,SOC,0.511438608
30979,143.0221818,-35.77915813,30,60,SOC,0.381611854
30979,143.0221818,-35.77915813,60,100,SOC,0.249347419
30979,143.0221818,-35.77915813,100,200,SOC,0.160654292
30979,143.0221818,-35.77915813,0,5,NTO,0.08961267
30979,143.0221818,-35.77915813,5,15,NTO,0.075542912
30979,143.0221818,-35.77915813,15,30,NTO,0.055982243
30979,143.0221818,-35.77915813,30,60,NTO,0.037126426
30979,143.0221818,-35.77915813,60,100,NTO,0.026341425
30979,143.0221818,-35.77915813,100,200,NTO,0.021799603
30979,143.0221818,-35.77915813,0,5,PTO,0.027877016
30979,143.0221818,-35.77915813,5,15,PTO,0.026766581
30979,143.0221818,-35.77915813,15,30,PTO,0.023868594
30979,143.0221818,-35.77915813,30,60,PTO,0.021884978
30979,143.0221818,-35.77915813,60,100,PTO,0.022259546
30979,143.0221818,-35.77915813,100,200,PTO,0.020269586
32996,143.0235288,-35.78003173,0,5,AWC,11.42285156
32996,143.0235288,-35.78003173,5,15,AWC,11.73162842
32996,143.0235288,-35.78003173,15,30,AWC,12.33935738
32996,143.0235288,-35.78003173,30,60,AWC,12.51119518
32996,143.0235288,-35.78003173,60,100,AWC,12.32382298
32996,143.0235288,-35.78003173,100,200,AWC,11.94684887
32996,143.0235288,-35.78003173,0,5,BDW,1.397369623
32996,143.0235288,-35.78003173,5,15,BDW,1.424161434
32996,143.0235288,-35.78003173,15,30,BDW,1.440262675
32996,143.0235288,-35.78003173,30,60,BDW,1.426542282
32996,143.0235288,-35.78003173,60,100,BDW,1.454861879
32996,143.0235288,-35.78003173,100,200,BDW,1.483515859
32996,143.0235288,-35.78003173,0,5,CLY,20.86105728
32996,143.0235288,-35.78003173,5,15,CLY,23.07652664
32996,143.0235288,-35.78003173,15,30,CLY,28.42068863
32996,143.0235288,-35.78003173,30,60,CLY,32.16501617
32996,143.0235288,-35.78003173,60,100,CLY,34.00496292
32996,143.0235288,-35.78003173,100,200,CLY,33.69535065
32996,143.0235288,-35.78003173,0,999,DER,94.49485016
32996,143.0235288,-35.78003173,0,5,DES,1
32996,143.0235288,-35.78003173,0,200,DES,1.116176724
32996,143.0235288,-35.78003173,5,15,DES,1
32996,143.0235288,-35.78003173,15,30,DES,1
32996,143.0235288,-35.78003173,30,60,DES,1
32996,143.0235288,-35.78003173,60,100,DES,1
32996,143.0235288,-35.78003173,100,200,DES,1
32996,143.0235288,-35.78003173,0,5,ECE,21.63527107
32996,143.0235288,-35.78003173,5,15,ECE,21.29990768
32996,143.0235288,-35.78003173,15,30,ECE,20.92589951
32996,143.0235288,-35.78003173,30,60,ECE,22.24836159
32996,143.0235288,-35.78003173,60,100,ECE,23.6607914
32996,143.0235288,-35.78003173,100,200,ECE,25.71801949
32996,143.0235288,-35.78003173,0,5,pHc,7.647690296
32996,143.0235288,-35.78003173,5,15,pHc,7.78453207
32996,143.0235288,-35.78003173,15,30,pHc,8.051095009
32996,143.0235288,-35.78003173,30,60,pHc,8.338514328
32996,143.0235288,-35.78003173,60,100,pHc,8.558120728
32996,143.0235288,-35.78003173,100,200,pHc,8.606257439
32996,143.0235288,-35.78003173,0,5,SND,66.70918274
32996,143.0235288,-35.78003173,5,15,SND,64.49650574
32996,143.0235288,-35.78003173,15,30,SND,59.08626556
32996,143.0235288,-35.78003173,30,60,SND,52.51805878
32996,143.0235288,-35.78003173,60,100,SND,48.9529953
32996,143.0235288,-35.78003173,100,200,SND,48.46787262
32996,143.0235288,-35.78003173,0,5,SLT,6.500037193
32996,143.0235288,-35.78003173,5,15,SLT,6.463928223
32996,143.0235288,-35.78003173,15,30,SLT,6.183928967
