"SiteID","Easting","Northing","Depth","Stratify","Transect","Clay","pH"
"h001",151.3081985,-32.812533,0.09,2,5,10,5.9
"h001",151.3081985,-32.812533,0.23,2,5,15,6.2
"h001",151.3081985,-32.812533,0.35,2,5,15,6.3
"h001",151.3081985,-32.812533,0.59,2,5,49,6.7
"h001",151.3081985,-32.812533,0.88,2,5,49,NA
"h002",151.318098,-32.81542623,0.09,2,5,34,5.9
"h002",151.318098,-32.81542623,0.26,2,5,34,5.79
"h002",151.318098,-32.81542623,0.64,2,5,57,5.52
"h002",151.318098,-32.81542623,0.97,2,5,49,5.46
"h003",151.2962733,-32.82347362,0.08,2,5,34,6.46
"h003",151.2962733,-32.82347362,0.28,2,5,34,6.86
"h003",151.2962733,-32.82347362,0.6,2,5,49,6.45
"h003",151.2962733,-32.82347362,0.95,2,5,45,5.68
"h003",151.2962733,-32.82347362,1.26,2,5,49,5.44
"h004",151.3007123,-32.82819679,0.03,2,5,40,7.82
"h004",151.3007123,-32.82819679,0.18,2,5,45,8.29
"h004",151.3007123,-32.82819679,0.48,2,5,40,9.52
"h004",151.3007123,-32.82819679,0.73,2,5,40,NA
"h004",151.3007123,-32.82819679,1.01,2,5,34,9.11
"h005",151.3186693,-32.8298914,0.04,2,5,15,7.74
"h005",151.3186693,-32.8298914,0.12,2,5,15,7.77
"h005",151.3186693,-32.8298914,0.27,2,5,23,6.99
"h005",151.3186693,-32.8298914,0.59,2,5,49,6.91
"h005",151.3186693,-32.8298914,0.9,2,5,45,6.9
"h008",151.3015235,-32.81364213,0.09,2,5,49,5.7
"h008",151.3015235,-32.81364213,0.27,2,5,49,6.3
"h008",151.3015235,-32.81364213,0.46,2,5,40,6
"h008",151.3015235,-32.81364213,0.67,2,5,32,6.2
"h008",151.3015235,-32.81364213,0.89,2,5,45,5.8
"h009",151.3034652,-32.81263128,0.08,2,5,10,5.7
"h009",151.3034652,-32.81263128,0.23,2,5,32,6.72
"h009",151.3034652,-32.81263128,0.49,2,5,40,6.32
"h009",151.3034652,-32.81263128,0.76,2,5,14,6.07
"h009",151.3034652,-32.81263128,0.93,2,5,45,6.14
"h010",151.3045935,-32.81395432,0.11,2,5,32,6.55
"h010",151.3045935,-32.81395432,0.3,2,5,49,5.95
"h010",151.3045935,-32.81395432,0.5,2,5,32,6.1
"h010",151.3045935,-32.81395432,0.81,2,5,32,5.4
"h011",151.3054906,-32.81395745,0.06,2,5,32,6.4
"h011",151.3054906,-32.81395745,0.35,2,5,49,5.46
"h011",151.3054906,-32.81395745,0.72,2,5,49,5.31
"h011",151.3054906,-32.81395745,0.91,2,5,45,5.65
"h011",151.3054906,-32.81395745,0.97,2,5,49,5.79
"h012",151.3062674,-32.81411227,0.06,2,5,40,6.18
"h012",151.3062674,-32.81411227,0.2,2,5,57,5.6
"h012",151.3062674,-32.81411227,0.44,2,5,57,5.54
"h012",151.3062674,-32.81411227,0.8,2,5,57,5.43
"h013",151.307216,-32.81421529,0.12,2,5,21,5.59
"h013",151.307216,-32.81421529,0.29,2,5,40,7.41
"h013",151.307216,-32.81421529,0.46,2,5,49,7.7
"h013",151.307216,-32.81421529,0.71,2,5,45,6.37
"h013",151.307216,-32.81421529,0.92,2,5,49,6.85
"h014",151.3088336,-32.81395757,0.14,2,5,10,6.06
"h014",151.3088336,-32.81395757,0.64,2,5,49,6.18
"h015",151.3098754,-32.8170381,0.17,2,5,34,7.8
"h015",151.3098754,-32.8170381,0.51,2,5,14,7.92
"h015",151.3098754,-32.8170381,0.83,2,5,34,8.34
"h016",151.3106999,-32.81636379,0.13,2,5,34,8.02
"h016",151.3106999,-32.81636379,0.3,2,5,32,8.21
"h016",151.3106999,-32.81636379,0.67,2,5,21,8.83
"h017",151.3114102,-32.81551657,0.13,2,5,49,8.88
"h017",151.3114102,-32.81551657,0.39,2,5,40,9.08
"h017",151.3114102,-32.81551657,0.76,2,5,34,9.11
"h018",151.3118653,-32.81517096,0.19,2,5,57,8.29
"h018",151.3118653,-32.81517096,0.42,2,5,34,8.61
"h018",151.3118653,-32.81517096,0.61,2,5,49,8.52
"h018",151.3118653,-32.81517096,0.88,2,5,NA,8.65
"h019",151.3123873,-32.81468196,0.08,2,5,45,8.78
"h019",151.3123873,-32.81468196,0.3,2,5,57,8.06
"h019",151.3123873,-32.81468196,0.72,2,5,49,8.72
"h020",151.3128916,-32.81399429,0.1,2,5,40,8.9
"h020",151.3128916,-32.81399429,0.35,2,5,49,8.72
"h020",151.3128916,-32.81399429,0.7,2,5,49,8.79
"h021",151.313653,-32.81269679,0.1,2,5,45,8.54
"h021",151.313653,-32.81269679,0.6,2,5,49,8.81
"h022",151.3206821,-32.81432453,0.06,2,5,22,5.6
"h022",151.3206821,-32.81432453,0.21,2,5,49,5.44
"h022",151.3206821,-32.81432453,0.5,2,5,49,5.37
"h022",151.3206821,-32.81432453,0.84,2,5,32,5.26
"h023",151.319197,-32.81548609,0.14,2,5,21,5.49
"h023",151.319197,-32.81548609,0.39,2,5,49,6.6
"h023",151.319197,-32.81548609,0.63,2,5,57,6.49
"h023",151.319197,-32.81548609,0.89,2,5,45,6.34
"h024",151.318467,-32.81568372,0.1,2,5,21,5.81
"h024",151.318467,-32.81568372,0.24,2,5,22,6.25
"h024",151.318467,-32.81568372,0.49,2,5,57,6.49
"h024",151.318467,-32.81568372,0.82,2,5,57,5.53
"h025",151.3169952,-32.81500555,0.06,2,5,34,5.3
"h025",151.3169952,-32.81500555,0.14,2,5,57,6.36
"h025",151.3169952,-32.81500555,0.29,2,5,57,5.86
"h025",151.3169952,-32.81500555,0.57,2,5,57,5.65
"h025",151.3169952,-32.81500555,0.86,2,5,57,5.07
"h026",151.3159913,-32.81500107,0.09,2,5,34,5.62
"h026",151.3159913,-32.81500107,0.25,2,5,21,6.94
"h026",151.3159913,-32.81500107,0.59,2,5,57,6.92
"h026",151.3159913,-32.81500107,0.94,2,5,57,6.32
"h027",151.3157915,-32.81483604,0.12,2,5,34,6.03
"h027",151.3157915,-32.81483604,0.29,2,5,34,5.52
"h027",151.3157915,-32.81483604,0.62,2,5,57,7.03
"h028",151.3143998,-32.8150067,0.12,2,5,34,6.6
"h028",151.3143998,-32.8150067,0.31,2,5,24,6.19
"h028",151.3143998,-32.8150067,0.51,2,5,57,6.86
"h028",151.3143998,-32.8150067,0.82,2,5,57,7.09
"h029",151.319994,-32.81399963,0.09,2,5,23,6.48
"h029",151.319994,-32.81399963,0.28,2,5,22,7.37
"h029",151.319994,-32.81399963,0.47,2,5,32,6.76
"h030",151.3193953,-32.81630046,0.06,2,5,40,6.24
"h030",151.3193953,-32.81630046,0.27,2,5,40,6.17
"h030",151.3193953,-32.81630046,0.53,2,5,45,6.2
"h030",151.3193953,-32.81630046,0.66,2,5,49,5.21
"h030",151.3193953,-32.81630046,0.76,2,5,NA,6.49
"h031",151.3195939,-32.8188014,0.09,2,5,40,7.57
"h031",151.3195939,-32.8188014,0.27,2,5,40,7.52
"h031",151.3195939,-32.8188014,0.54,2,5,40,6.09
"h031",151.3195939,-32.8188014,0.81,2,5,49,7.09
"h032",151.3203703,-32.81897417,0.08,2,5,23,6.19
"h032",151.3203703,-32.81897417,0.3,2,5,23,7.07
"h032",151.3203703,-32.81897417,0.5,2,5,40,6.95
"h032",151.3203703,-32.81897417,0.77,2,5,45,6.63
"h033",151.3217299,-32.81881202,0.1,2,5,34,6.57
"h033",151.3217299,-32.81881202,0.49,2,5,45,6.6
"h034",151.3224759,-32.818335,0.16,2,5,45,6.97
"h034",151.3224759,-32.818335,0.63,2,5,45,6.95
"h035",151.3235188,-32.81797017,0.09,2,5,40,7.09
"h035",151.3235188,-32.81797017,0.57,2,5,45,6.95
"h036",151.3206545,-32.81408966,0.03,2,5,22,5.6
"h036",151.3206545,-32.81408966,0.14,2,5,49,5.35
"h036",151.3206545,-32.81408966,0.42,2,5,49,5.65
"h036",151.3206545,-32.81408966,0.7,2,5,32,6.33
"h036",151.3206545,-32.81408966,0.88,2,5,32,8.92
"h037",151.3214293,-32.81435259,0.07,2,5,21,5.99
"h037",151.3214293,-32.81435259,0.19,2,5,23,6.12
"h037",151.3214293,-32.81435259,0.41,2,5,45,6.6
"h037",151.3214293,-32.81435259,0.68,2,5,45,5.96
"h037",151.3214293,-32.81435259,0.86,2,5,21,4.58
"h038",151.3218986,-32.81438594,0.12,2,5,21,6.2
"h038",151.3218986,-32.81438594,0.41,2,5,8,6.72
"h038",151.3218986,-32.81438594,0.71,2,5,57,6.92
"h038",151.3218986,-32.81438594,0.91,2,5,57,6.51
"h039",151.3229121,-32.81501282,0.05,2,5,22,5.36
"h039",151.3229121,-32.81501282,0.18,2,5,8,6.17
"h039",151.3229121,-32.81501282,0.36,2,5,49,6.62
"h039",151.3229121,-32.81501282,0.71,2,5,49,6.08
"h040",151.3233291,-32.81612775,0.06,2,5,21,6
"h040",151.3233291,-32.81612775,0.2,2,5,45,6.16
"h040",151.3233291,-32.81612775,0.39,2,5,57,6.53
"h040",151.3233291,-32.81612775,0.63,2,5,45,6.68
"h040",151.3233291,-32.81612775,0.84,2,5,32,6.63
"h041",151.3237712,-32.81704459,0.1,2,5,21,6.51
"h041",151.3237712,-32.81704459,0.28,2,5,45,6.44
"h041",151.3237712,-32.81704459,0.49,2,5,49,6.17
"h041",151.3237712,-32.81704459,0.81,2,5,49,5.88
"h042",151.3242271,-32.81779026,0.05,2,5,15,6.1
"h042",151.3242271,-32.81779026,0.19,2,5,15,5.23
"h042",151.3242271,-32.81779026,0.44,2,5,45,5.51
"h042",151.3242271,-32.81779026,0.69,2,5,49,5.92
"h042",151.3242271,-32.81779026,0.88,2,5,49,6.15
