"Observed","Modelled"
22.4,22.9211349487305
25.6,22.9211349487305
32.1,16.080774307251
27.3,22.9211349487305
28.2,22.9211349487305
29.7,22.9211349487305
14.5,14.3810319900513
15.2,18.6766986846924
24.3,0
26.6,0
8.5,14.2237148284912
7.5,15.2237148284912
14.4,13.8606214523315
10.9,13.4737148284912
11.6,15.2237148284912
17.2,18.6855659484863
34.4,18.69557762146
37.7,21.44557762146
10,14.3680181503296
12.7,14.9380178451538
16.3,23.8385887145996
11.4,24.7135887145996
17.9,18.5602073669434
22.5,17.5098304748535
19.6,17.5098304748535
3.5,11.2733297348022
20.2,18.1327114105225
5.3,11.2733297348022
17.2,18.1327114105225
19.2,18.1327114105225
19.5,18.1327114105225
21.8,18.1327114105225
1.8,6.1194167137146
5.8,24.3883838653564
23.8,24.3883838653564
26.7,24.3883838653564
23.3,24.3883838653564
5.1,5.90216255187988
6,19.1080799102783
7.9,17.336727142334
1.9,20.7867259979248
13,15.1615915298462
12.1,15.1615915298462
13.9,20.7867259979248
14.1,15.1615915298462
13.7,15.1615915298462
24.1,23.2373733520508
26.5,21.8819046020508
20.8,19.7017421722412
18.7,23.5876598358154
20.7,23.5876598358154
16,19.4821586608887
16.8,19.4821586608887
18.2,22.9321594238281
7.2,17.4025459289551
10.5,17.4025459289551
10.3,16.6406574249268
9.9,17.210657119751
11.9,14.2003450393677
10.3,9.83825969696045
15.5,10.5882596969604
11.7,12.4449272155762
9,13.6642084121704
2.6,13.6642084121704
12.5,15.8949279785156
18.3,13.7143068313599
6,13.7143068313599
10.1,20.0812149047852
15.8,20.0812149047852
15.1,14.9958810806274
13.2,16.5221042633057
26.8,30.5538463592529
27.6,30.5538463592529
18.8,30.3996715545654
19.4,24.1931266784668
26.1,24.1931266784668
23.9,24.1931266784668
28.6,24.1931266784668
35.4,31.0826816558838
35.9,31.0826816558838
39.8,21.7195625305176
41.1,21.7195625305176
34.5,21.7195625305176
2.9,0.0013626953586936
9.7,7.23070669174194
5.8,7.23070669174194
0,0.0013626953586936
21.7,7.23070669174194
2.6,0.345108509063721
3.6,0.345108509063721
0,8.14129829406738
11.5,8.14129829406738
5.9,8.14129829406738
1.2,9.24484825134277
0.2,9.24484825134277
0,9.58782577514648
10.7,18.5784072875977
8.5,18.5784072875977
13,17.3374443054199
6.8,17.3374443054199
6.4,11.7462148666382
6.3,14.2955684661865
22.3,14.2955684661865
21,24.9142456054688
24,21.1960735321045
27.5,21.1960735321045
26.6,21.1960735321045
16.4,21.1960735321045
29,10.4548931121826
28.9,20.5049514770508
27.7,20.5049514770508
24.3,20.5049514770508
21.3,24.362943649292
30,32.4606781005859
35.4,32.4606781005859
22.2,19.8829441070557
35.1,32.4606781005859
32.4,32.4606781005859
25.6,20.9375343322754
31.5,29.0956497192383
31.3,29.0956497192383
19.7,28.6627464294434
31.2,29.8830165863037
31.8,29.8830165863037
25,20.611328125
31.3,25.0913276672363
29.2,37.5444488525391
28.3,37.5444488525391
1.6,7.02191734313965
0,7.02191734313965
5.1,11.7833995819092
5.9,11.7833995819092
2.9,11.7833995819092
25.1,23.7038192749023
14.8,23.7038192749023
29.4,15.276123046875
31.3,26.5096797943115
17.5,19.8058490753174
19.3,24.2858486175537
17.7,21.1271648406982
12.3,19.8058490753174
14.8,24.2858486175537
22,21.1271648406982
22.2,21.1271648406982
23.4,22.2741527557373
27.7,22.6249313354492
21,11.824408531189
21,24.2295265197754
23.6,24.2295265197754
26,24.3918914794922
27.5,27.3115901947021
4.7,17.9025611877441
7.4,20.3255615234375
35.3,20.3255615234375
33.8,20.3255615234375
16.2,23.2678413391113
34.8,29.4844036102295
33.1,29.4844036102295
36.7,39.8873672485352
34.1,33.3966789245605
34.6,33.3966789245605
33.3,33.3966789245605
33,33.3966789245605
36.9,20.6018009185791
36.6,20.6018009185791
34.9,20.6018009185791
32.6,20.6018009185791
20.2,36.5661163330078
31,29.92041015625
25.4,29.92041015625
44.8,36.3323020935059
38.7,36.3323020935059
34.1,24.5629825592041
40.9,36.3323020935059
31.7,19.0982818603516
35.6,19.0982818603516
36.2,37.7618064880371
42.9,37.7618064880371
36.9,37.7618064880371
28.4,30.6093578338623
24,27.8428707122803
20.5,27.1668586730957
32.1,37.4827613830566
31.4,37.4827613830566
16.3,11.2958898544312
11.4,11.6858901977539
11.9,18.9511051177979
11.4,17.2011051177979
4,18.9511051177979
12.3,18.7484664916992
24.1,21.7484664916992
17.5,19.0184783935547
13,25.1771240234375
24.6,25.8021240234375
32.5,19.0669078826904
24.9,20.8169078826904
25.6,21.5513343811035
19.1,23.3013343811035
9,24.5513343811035
18.2,15.416036605835
21.8,21.5513343811035
24.8,22.3013343811035
28.9,23.3013343811035
20.5,21.0569076538086
22,21.8069076538086
23.4,22.8069076538086
0.3,8.36390972137451
0,9.36390972137451
0,10.6139097213745
6.7,10.6766424179077
0,14.1266422271729
8.1,12.5973424911499
2.6,14.8473424911499
31.5,26.8245086669922
37.2,36.6930885314941
30.4,36.6930885314941
33.6,26.8245086669922
35.3,36.6930885314941
33.7,36.6930885314941
29.4,36.6930885314941
37,36.6558151245117
37,19.6807899475098
42.8,33.1911659240723
18.2,30.8463077545166
26.2,35.3163070678711
31.9,21.2888259887695
36.9,21.2888259887695
38.8,21.2888259887695
7.3,10.062463760376
14.6,13.9416837692261
24,11.1595916748047
25.9,13.1864175796509
14.2,13.9364175796509
17.9,14.9364175796509
12.6,27.9831123352051
23.6,22.1761875152588
26.7,22.9261875152588
35.6,23.9261875152588
34.8,24.8011875152588
7,14.1317520141602
11.7,14.1317520141602
17.1,22.4234657287598
18,14.1317520141602
17.6,22.4234657287598
22.7,23.1734657287598
29.1,14.3168096542358
28.1,21.9341983795166
15.4,26.6169109344482
30.1,26.9919109344482
15.6,18.7374057769775
32.1,23.2074069976807
21.8,32.4700698852539
29.7,39.2478256225586
27.7,39.2478256225586
32.2,39.2478256225586
19.6,21.1418781280518
26.2,25.6118774414062
