"Observed","Modelled"
47.2,33.6590538024902
39,32.9390525817871
28.7,29.6990547180176
28.3,33.6590538024902
39.6,31.1390533447266
54.4,37.396427154541
47.4,36.6764259338379
37.5,35.5964279174805
49.5,32.3564262390137
51,53.5293502807617
48.8,53.5293502807617
40.4,53.5293502807617
38.1,53.5293502807617
74.9,52.0513648986816
62.7,52.0513648986816
64.1,52.0513648986816
48.4,52.0513648986816
52,52.0513648986816
55.6,52.0513648986816
67.9,52.0513648986816
46.4,31.310640335083
24.4,29.8706398010254
17.8,27.3506412506104
65.8,58.5875015258789
68,66.9800033569336
56.7,54.9000015258789
58.5,54.9000015258789
58.7,54.9000015258789
53.5,54.9000015258789
80.7,72.1977691650391
75,72.1977691650391
64.3,72.1977691650391
57.8,72.1977691650391
65.6,72.1977691650391
82.7,66.1889343261719
88.5,66.1889343261719
56.2,66.1889343261719
73.2,47.928150177002
66.6,44.7081489562988
77.1,40.5681495666504
69.7,53.9104499816895
73.6,52.3104476928711
68.9,48.3104476928711
56.8,41.1104469299316
84.8,65.5960998535156
90.7,64.0860977172852
78.2,60.3110961914062
77.4,60.3110961914062
75.6,57.2910957336426
76.2,53.5160980224609
62.7,53.9307136535645
60.7,48.8707160949707
51.8,78.0203399658203
57,78.0203399658203
62.5,78.0203399658203
57.9,61.617488861084
54.2,59.3524894714355
53.6,52.5574913024902
57.1,64.6374893188477
70.3,63.2845153808594
70.1,61.9845161437988
54.3,51.6747741699219
63.1,47.6747741699219
68,44.4747734069824
73.6,41.274772644043
51.7,54.9000015258789
54.5,54.9000015258789
51.8,54.9000015258789
58.6,54.9000015258789
49.6,54.9000015258789
48.3,54.9000015258789
61.6,54.9000015258789
51.9,54.9000015258789
75.6,59.4258766174316
72,59.4258766174316
76.5,59.4258766174316
66.3,59.4258766174316
41.3,66.004997253418
41.1,47.8067741394043
33.8,44.0317726135254
38.9,47.8067741394043
29.1,46.2967720031738
31,44.0317726135254
35.7,36.2519416809082
24.4,26.491943359375
21.8,36.1849784851074
19.6,32.984977722168
27.8,27.3849773406982
41.7,23.3849773406982
83.5,74.9371719360352
82.6,74.9371719360352
69.8,74.9371719360352
92.4,74.9371719360352
73.5,74.9371719360352
56.6,74.9371719360352
71.3,74.9371719360352
74.4,44.0993499755859
61.6,41.0493507385254
66.8,38.6093482971191
71.4,35.5593490600586
90,57.6392784118652
81.7,57.6392784118652
82.1,57.6392784118652
81.2,57.6392784118652
66.9,67.5682601928711
66.7,66.9182586669922
56.6,46.472583770752
62.8,46.472583770752
53.1,46.472583770752
57.9,46.472583770752
65.9,46.472583770752
55.6,46.472583770752
68.7,47.0679168701172
46.1,36.0779151916504
44.9,41.522834777832
42,40.8028373718262
35,35.5248069763184
30.3,35.5248069763184
39,42.4783515930176
42,41.5583534240723
30.1,40.6383514404297
26.2,35.1183547973633
40.1,42.4783515930176
35,41.5583534240723
34.4,39.2583541870117
30,37.1934661865234
31.7,34.8934669494629
34.8,43.0300712585449
34.6,41.2000732421875
33.9,35.7100715637207
31.8,29.082670211792
35,28.2576694488525
86.7,69.7039794921875
75.2,69.7039794921875
75.9,69.7039794921875
87.4,69.7039794921875
76.8,69.7039794921875
80.4,69.7039794921875
41.6,44.8003616333008
60.9,40.8003616333008
47.8,33.6003608703613
26.1,26.3374996185303
24.1,26.0074996948242
36.3,25.1824989318848
54.7,56.5009956359863
50.3,55.7959938049316
54.6,53.6809959411621
65.7,57.4409942626953
62.6,56.9709930419922
52.5,56.5009956359863
51,54.9182739257812
49.7,54.9182739257812
48.6,54.9182739257812
46.8,54.9182739257812
58.7,66.0964508056641
56,65.4464492797852
54.9,64.7964477539062
54,60.8964462280273
51.5,57.676685333252
48.9,57.676685333252
43.4,57.676685333252
27.5,48.9202346801758
55.3,54.4152374267578
24.6,45.7802352905273
44.8,50.0931625366211
47.4,49.5331649780273
46.3,48.1331634521484
21.8,47.0131645202637
23.1,45.6131629943848
54.4,31.1114807128906
41,30.3914813995361
30,28.4408111572266
30.5,24.4808120727539
32.1,22.6808109283447
32.4,39.4756622314453
25.8,38.2556648254395
25.4,32.7656631469727
28.6,29.7156639099121
28.8,39.4756622314453
26.4,38.2556648254395
23.9,37.0356636047363
25.1,32.7656631469727
24.5,38.1535682678223
24.5,38.1535682678223
23.2,38.1535682678223
24.9,38.1535682678223
27.9,38.1535682678223
26.6,42.199390411377
24.9,39.7593879699707
43.7,35.489387512207
30.6,51.3603477478027
31.1,47.2203483581543
35.5,44.9203491210938
32.3,40.2814483642578
32.3,38.8414497375488
31.8,38.8414497375488
28.4,37.7614517211914
27.6,36.3214492797852
43.9,66.1646118164062
34.3,65.5146179199219
28.3,63.8896141052246
33.7,62.5896148681641
22.8,60.9646148681641
42.7,54.9000015258789
38.1,54.9000015258789
53.3,54.9000015258789
57,55.8827743530273
53.6,55.8827743530273
45.9,55.8827743530273
38.8,55.8827743530273
63.6,65.1993255615234
72.8,65.1993255615234
76.9,65.1993255615234
68.4,65.1993255615234
72.7,65.1993255615234
71.8,65.1993255615234
89.5,65.1993255615234
77.6,40.5962867736816
75.2,38.9962882995605
72.3,33.3962898254395
68.9,29.3962879180908
51.6,48.0519485473633
56.7,43.7319488525391
44.7,40.5670852661133
42.4,39.8470878601074
66.4,35.5270881652832
68.3,57.9267997741699
60.7,57.9267997741699
53.4,57.9267997741699
54.3,57.9267997741699
57.4,57.9267997741699
69.3,57.9267997741699
63.7,57.9267997741699
58.3,57.9267997741699
50,57.9267997741699
55.9,57.9267997741699
62.4,63.0885620117188
57.6,60.8135643005371
59.5,59.1885643005371
64.9,59.576286315918
72.9,59.576286315918
59.4,59.576286315918
58.4,56.5186538696289
82.7,56.5186538696289
40.5,42.5396423339844
41,40.709644317627
54.7,43.3602333068848
50.4,42.1402320861816
41.8,39.0902328491211
34.8,48.6465301513672
49.6,40.936206817627
37.3,39.7162055969238
83.8,48.7573852539062
69.5,48.7573852539062
68.9,48.7573852539062
42.7,50.2180252075195
44.1,50.2180252075195
55.4,39.6366271972656
34.1,39.6366271972656
71.7,50.4622268676758
44.5,50.4622268676758
71.8,38.0182991027832
39.7,38.0182991027832
42.4,38.0182991027832
51.8,68.1591110229492
53.3,67.5091094970703
56.9,66.8591156005859
32.4,63.2841110229492
40.5,55.7240791320801
43.2,55.7240791320801
52.7,55.7240791320801
39.8,55.7240791320801
32.6,55.7240791320801
31.2,55.7240791320801
46.5,41.3179473876953
46.7,41.3179473876953
51.7,52.7383995056152
42.9,51.1384010314941
35.9,49.5383987426758
28.2,43.9384002685547
43.4,37.4564323425293
45.6,36.2364311218262
34.4,34.4064331054688
36.1,31.9664325714111
31.3,28.916431427002
65.3,51.2863807678223
56.7,51.2863807678223
48.9,51.2863807678223
50.9,49.9329528808594
79.6,51.7947540283203
73.5,51.7947540283203
76,51.7947540283203
75.3,51.7947540283203
77.7,58.5449981689453
77.3,62.2750015258789
67.3,71.5999984741211
60.9,79.0599975585938
90.3,51.2552108764648
89,50.7852096557617
88.5,50.3152084350586
79,48.6702079772949
88.2,47.4952087402344
84.6,49.6102104187012
73.9,48.6702079772949
75.2,55.7048835754395
73.1,53.1198844909668
65.9,51.9448852539062
88.4,54.9000015258789
84.1,54.9000015258789
79.1,54.9000015258789
59,54.9000015258789
86.3,70.7285919189453
80.1,70.7285919189453
52.8,54.9000015258789
50.5,54.9000015258789
48.1,54.9000015258789
50.3,54.9000015258789
56.5,54.9000015258789
42.7,35.6859092712402
41.5,35.6859092712402
52.2,35.6859092712402
40.9,35.6859092712402
25,25.6322498321533
33.7,25.6322498321533
20.9,17.7996883392334
18,17.7996883392334
12.4,17.7996883392334
28.4,46.5215797424316
40.3,44.9215774536133
61.2,54.9000015258789
54.5,54.9000015258789
45.3,54.9000015258789
44.6,54.9000015258789
41.2,54.9000015258789
68.7,65.6730194091797
63,65.6730194091797
76.9,67.6267395019531
70.9,65.3517379760742
58,64.0517349243164
52.1,62.4267387390137
41.3,27.8818054199219
26.5,22.5968055725098
18.3,19.5768051147461
66.8,54.5735702514648
58.9,53.853572845459
55.1,52.0535697937012
49.2,50.6135711669922
39.2,38.0593109130859
33.1,38.0593109130859
30.8,38.0593109130859
36.2,38.0593109130859
33.2,36.6138648986816
36.8,35.1738662719727
26.6,34.093864440918
37.4,32.653865814209
38.2,50.0427131652832
30.6,48.9227142333984
9.6,48.0827140808105
69.8,48.4043807983398
77.3,47.6843795776367
75.5,46.9643821716309
80,49.2091026306152
66.5,59.8351821899414
73.4,49.2323722839355
80.4,48.312370300293
73,47.3923721313477
54.1,49.2323722839355
64.5,48.312370300293
69.2,60.4175987243652
68.9,60.4175987243652
69.7,65.7078704833984
42.3,55.5707855224609
42.1,55.5707855224609
48.2,55.5707855224609
46.5,41.1231422424316
50.2,39.9031410217285
42,42.3431434631348
35.9,39.9031410217285
38.3,38.6831436157227
47.3,42.3000602722168
57.9,42.3000602722168
45.6,42.3000602722168
31.5,28.6187896728516
30.3,28.2887897491455
29.8,27.7937889099121
25.8,28.9487895965576
30.3,27.7937889099121
27.2,44.4965705871582
25.7,43.2765731811523
28.4,41.4465713500977
23.8,35.9565734863281
23.1,28.6061782836914
24.5,25.966178894043
32.4,31.9229183197021
89.1,48.7666130065918
70.2,48.7666130065918
81.5,48.7666130065918
84.7,48.7666130065918
79.1,48.7666130065918
60.3,48.7666130065918
55.7,48.7666130065918
80.7,53.0223922729492
89.6,53.0223922729492
65.4,46.302074432373
68.5,43.8620758056641
70.3,42.0320777893066
60.8,39.5920753479004
56,36.5420761108398
44.8,45.9683036804199
49.6,45.9683036804199
53.5,45.9683036804199
46.3,45.9683036804199
70,65.8226547241211
68.8,65.8226547241211
74.4,65.8226547241211
90.9,48.1795883178711
92.7,46.7995872497559
48.3,51.6280326843262
61.6,46.3430328369141
57.5,45.6934432983398
60.1,40.1984443664551
55.9,53.4044456481934
78.7,53.4044456481934
65.6,53.4044456481934
66.9,53.4044456481934
52.4,53.4044456481934
74.1,53.4044456481934
51.2,53.4044456481934
71.6,45.7679061889648
50.9,45.7679061889648
38.2,45.7679061889648
27,45.7679061889648
54,51.4095306396484
58,48.8895301818848
47,47.4495315551758
30.1,42.6975936889648
25.2,41.6175956726074
22.3,38.3775939941406
18,54.9000015258789
20.1,54.9000015258789
34.3,29.9138507843018
22.9,44.3330001831055
22.6,44.3330001831055
22.7,44.3330001831055
19.7,44.3330001831055
25.2,44.3330001831055
25.5,44.3330001831055
26.3,44.3330001831055
29.2,44.3330001831055
22.6,44.3330001831055
31.3,37.1986846923828
31.9,35.6286849975586
30.3,33.2736854553223
24.4,30.1336860656738
43.8,45.4680252075195
43.2,42.9480247497559
42.9,53.6533241271973
55,53.6533241271973
79.8,53.6533241271973
44.2,54.7141532897949
50.3,55.6854286193848
45,49.7073059082031
25.1,39.4066314697266
27.4,45.7295150756836
24.3,43.8995132446289
47.9,56.2744560241699
42.6,37.7800140380859
38.3,35.3800163269043
51.6,28.1800155639648
45.2,40.9800148010254
39.1,37.7800140380859
49.1,35.3800163269043
49.2,32.1800155639648
47.1,28.1800155639648
43.4,41.681282043457
36.3,40.0812797546387
31.6,34.4812812805176
24.2,35.6904029846191
24.2,35.6904029846191
22.9,35.6904029846191
19.8,35.6904029846191
71,51.2860412597656
54.9,48.2660446166992
55.6,46.0010414123535
52.5,39.9610443115234
68,57.4265975952148
68.2,57.4265975952148
66.3,70.2299499511719
29.4,40.8767776489258
22.1,39.9567756652832
26.8,39.0367774963379
16.2,37.6567764282227
21.4,39.0367774963379
36.7,33.5167770385742
45.3,45.028392791748
41.4,42.5883941650391
29.2,38.3183937072754
28.1,39.2558708190918
24.2,37.4158706665039
40.7,29.9384937286377
32,29.2784938812256
41.7,28.4534931182861
35.3,47.3326683044434
37.5,46.1126670837402
37.2,43.0626678466797
37.2,47.3326683044434
37.9,46.1126670837402
27,44.8926696777344
29.7,43.0626678466797
32.4,37.5726699829102
31.3,47.4180908203125
33.4,46.1980895996094
33.3,44.368091583252
32.2,41.9280891418457
26.2,38.8780899047852
30.6,28.5888576507568
32.6,26.2788581848145
35.3,39.8614540100098
32.8,36.6414566040039
60.4,53.0861854553223
56.7,53.0861854553223
57.1,51.4861831665039
49.9,71.2282180786133
67.4,53.0543365478516
45.7,53.0543365478516
65.8,50.2717132568359
76.9,50.2717132568359
60.7,50.2717132568359
60.4,50.2717132568359
51.9,65.9881286621094
51,35.979305267334
41.5,41.039306640625
41.9,40.1193046569824
50.7,39.1993064880371
40.1,37.8193054199219
51.2,35.979305267334
43.4,33.6793060302734
51,34.3860282897949
41.1,46.6496467590332
36.4,44.3496475219727
39.2,42.5096473693848
66.8,63.7575721740723
57.7,61.4825706481934
69.1,60.1825714111328
51.5,62.7268676757812
56.3,62.7268676757812
82.8,62.7268676757812
80.4,47.6654167175293
77.1,47.6654167175293
77.3,47.6654167175293
51.6,47.6654167175293
48,54.3390045166016
50.8,53.4990043640137
50.4,51.539005279541
20.9,28.2706241607666
17.6,27.5506248474121
15.9,26.830623626709
17.1,25.7506237030029
19.4,24.3106250762939
16.6,28.2706241607666
16.1,24.3106250762939
18.6,28.1323413848877
22.6,27.4123401641846
14.5,24.1723403930664
15.1,22.3723411560059
21.6,32.940673828125
28,32.2206726074219
27.9,31.5006713867188
27.3,30.1453609466553
29.8,28.3453617095947
26.8,26.9053611755371
28.9,25.1053619384766
31.1,29.2519226074219
29.3,28.1719226837158
30.2,26.7319221496582
28.9,24.9319229125977
21.9,28.4775218963623
29.6,24.1575222015381
29.9,22.6024990081787
29.3,31.2669105529785
25.7,29.4669094085693
49.2,49.0711975097656
71.7,51.858699798584
58.4,50.7436981201172
53.8,49.0711975097656
39.7,55.1892280578613
74.3,64.0676422119141
60.9,64.0676422119141
60.6,64.0676422119141
43.3,64.0676422119141
82.8,73.8689575195312
63.5,73.8689575195312
62.9,73.8689575195312
55.4,73.8689575195312
70.2,64.0418243408203
61.8,64.0418243408203
61.4,64.0418243408203
70.9,64.0418243408203
66.2,30.861421585083
56.7,29.4214210510254
56.9,26.9014205932617
76,64.0697708129883
61.9,64.0697708129883
76.4,49.3752212524414
81.7,47.4152183532715
