"Observed","Modelled"
8.34,8.65104293823242
8.42,7.95161056518555
9.09,8.30510997772217
8.18,7.98118543624878
8.25,8.52568531036377
8.31,8.60818481445312
8.42,8.41568470001221
8.38,8.52568531036377
8.82,8.49600028991699
7.63,7.84505414962769
8.46,8.16005420684814
8.35,8.19614887237549
6.6,6.42234039306641
6.77,6.84584045410156
8.25,7.56345272064209
7.77,7.87223672866821
7.67,8.22573661804199
4.84,5.43491220474243
8.38,8.55190944671631
9.1,8.86690902709961
9.24,8.45115375518799
8.16,8.13183784484863
8.63,8.4287052154541
8.82,8.62120532989502
8.31,7.96829128265381
7.85,8.23898124694824
7.85,8.40298175811768
7.92,7.89713191986084
8.06,8.47947978973389
8.77,8.62947940826416
9.55,8.64573287963867
8.27,8.26367664337158
8.44,8.64867687225342
7.16,6.25397634506226
6.62,7.47797632217407
7,6.25397634506226
7.06,6.56301403045654
6.25,6.25930309295654
6.44,6.32930326461792
6.57,6.82428169250488
5.95,6.25628137588501
6.25,6.32728147506714
6.42,6.39828157424927
6.42,6.50478172302246
6.76,7.05916166305542
6.99,7.36166191101074
6.36,6.76027536392212
7.22,6.97027540206909
6.57,6.6940450668335
6.87,6.81654500961304
7.02,6.88654518127441
7.12,6.98108720779419
6.72,6.37157487869263
6.04,6.61657476425171
6.96,6.68626737594604
7.06,6.8437671661377
7.12,6.70773696899414
6.96,7.36586761474609
7.35,7.66836738586426
7.54,7.91036748886108
7.4,7.91036748886108
8.43,7.92756414413452
8.61,8.35506439208984
8.23,8.15709686279297
8.23,8.39459705352783
8.03,7.94014644622803
8.69,8.53198337554932
9.14,8.63298320770264
8.2,8.430983543396
9.32,8.98648357391357
9.12,9.23937511444092
9.16,9.49187564849854
8.25,8.56001853942871
7.95,8.22318458557129
8.57,8.3181848526001
8.31,8.55568504333496
8.52,8.4461555480957
9.32,8.68365478515625
8.78,8.52533912658691
8.23,8.02347850799561
7.97,8.02347850799561
8.23,8.21728897094727
8.27,7.94809007644653
7.88,8.30158996582031
6.83,7.37247085571289
6.88,7.45447111129761
8.46,7.94647121429443
6.73,7.29047107696533
6.67,6.11952018737793
6.35,6.18452024459839
6.02,6.24952030181885
7.79,8.26979064941406
9.67,8.72504997253418
9.92,8.78005027770996
9.11,9.02754974365234
8.88,8.70376777648926
8.77,8.3712682723999
9.07,8.51376819610596
8.14,8.48465919494629
8.46,8.57465839385986
10.25,8.16637897491455
9.99,8.22137832641602
10.09,8.22137832641602
8.17,8.29541683197021
8.27,8.43291664123535
8.35,8.90003490447998
8.75,8.90003490447998
8.94,8.90003490447998
8.21,8.11216449737549
8.07,8.05716419219971
8.68,8.16716480255127
9.57,8.39700222015381
8.08,7.92630958557129
8.57,8.02730941772461
8.31,8.22689819335938
8.27,8.32189750671387
8.44,7.81171178817749
8.65,8.04924774169922
8.63,8.5665979385376
8.54,8.71659851074219
8.46,7.89759588241577
8.88,8.70559597015381
7.57,7.67221927642822
8.61,8.8438081741333
9.49,10.0118083953857
7.02,6.2038631439209
7,6.2038631439209
8.1,8.07172107696533
7.63,7.754075050354
9.43,8.96200752258301
6.52,6.05608367919922
5.61,6.19362306594849
6.81,8.15598011016846
8.06,8.30597972869873
8.69,8.5759801864624
6.52,7.20902490615845
5.86,8.55652523040771
8.03,8.00360774993896
8.17,8.42360782623291
8.02,7.83125114440918
8.27,8.14625072479248
8.52,8.59806251525879
6.09,5.49973917007446
6.93,7.63179683685303
6.95,6.08272886276245
6.48,6.08272886276245
5.26,5.91094970703125
6.36,6.19676446914673
7.78,7.74528455734253
8.04,8.0952844619751
8.17,7.71097660064697
8.2,7.90097665786743
8.44,8.13847637176514
7.42,7.47347688674927
7.89,7.71097660064697
8.27,8.13847637176514
6.34,6.30298948287964
6.12,6.45598936080933
5.65,6.60898923873901
6.27,6.30298948287964
8.01,7.14448928833008
6.18,7.01578712463379
7.78,7.66214036941528
7.74,7.86414003372192
5.66,8.2176399230957
5.63,7.03690528869629
8.35,7.59240531921387
7.84,8.06492233276367
8.58,8.51589679718018
7.22,7.32511138916016
8.23,7.64011144638062
8.83,8.22596263885498
6.88,7.9610390663147
8.2,8.17103862762451
8.48,8.35036468505859
8.34,8.20268249511719
8.08,8.26323223114014
8.33,8.21971130371094
8.22,8.17770862579346
7.84,8.38185214996338
7.92,8.44185161590576
7.91,8.27101898193359
8.1,7.93053388595581
8.69,8.38053417205811
8.12,8.12468910217285
8.48,8.47468852996826
8.03,7.76869010925293
7.94,7.8686900138855
7.89,8.11869049072266
9.14,8.74773693084717
9.63,9.09773731231689
9.58,9.29773712158203
7.71,7.97345924377441
9.12,8.85826015472412
9.45,9.03975963592529
8.43,9.28176021575928
9.78,8.86570072174072
9.13,9.41020107269287
8.96,8.42496013641357
7.61,7.49887228012085
8.5,7.68037223815918
7.48,7.50700950622559
7.6,7.39351415634155
6.75,7.74420785903931
7.97,8.18355369567871
7.96,8.03055381774902
8.25,8.30164051055908
6.23,5.67584276199341
5.68,5.52950859069824
7.76,7.34287786483765
7.83,7.34287786483765
8.09,8.18437767028809
7.98,7.65573263168335
7.94,7.21836757659912
7.91,8.66736793518066
7.51,8.69964790344238
7.5,9.21714782714844
8.85,7.57386779785156
7.62,7.93534994125366
9.14,7.54191446304321
8.18,7.55388355255127
7.64,7.88638353347778
8.24,8.06434917449951
7.75,7.68699073791504
8.02,7.78199052810669
8.48,7.53945255279541
8.21,7.72945213317871
8.02,8.06195259094238
7.99,7.58324575424194
7.6,7.5804648399353
5.88,6.91045999526978
5.69,7.06132555007935
6.12,7.21432590484619
5.73,7.03797626495361
4.98,7.5478515625
5.2,7.64885187149048
7.64,6.06312227249146
7.15,7.59665107727051
8.91,7.99441909790039
7.85,8.44891929626465
8.22,7.74191904067993
8.14,7.4837703704834
8.14,7.58477020263672
8.17,7.6857705116272
7.51,8.29176998138428
7.76,7.57372760772705
7.72,7.72522735595703
8.16,8.03211307525635
7.23,7.63057279586792
7.91,8.15307235717773
7.94,8.3905725479126
7.51,7.37848997116089
8.03,7.7109899520874
6.96,7.79515933990479
8.03,7.73015928268433
7.95,8.2854118347168
6.45,6.51255893707275
6.31,5.51920032501221
7.97,7.60229587554932
8.68,7.60229587554932
7.82,7.60229587554932
7.98,7.60229587554932
8.2,8.13117980957031
8.3,8.2897310256958
8.16,8.12385559082031
7.38,7.89301013946533
8.29,8.21001434326172
8.1,7.9862642288208
8.12,7.93245315551758
8.06,7.98745346069336
9.71,8.6777982711792
7.94,8.2772102355957
9.5,9.13471031188965
8.6,8.91876316070557
8.88,8.91876316070557
7.83,8.55378913879395
9.07,8.7557897567749
9.31,8.90728950500488
9.17,8.60619354248047
8.34,8.25766754150391
8.29,8.25522613525391
8.88,8.82522678375244
8.44,8.06522655487061
8.67,8.58772659301758
8.85,8.82522678375244
8.12,8.06909275054932
8.58,8.82909297943115
8.23,8.83628082275391
8.13,8.32154750823975
8.06,8.36627388000488
7.83,8.27127361297607
8.67,8.61778736114502
8.84,8.42416381835938
8.56,8.32813835144043
9.3,8.75563812255859
8.17,8.5562105178833
8.9,8.88871097564697
7.75,7.26317930221558
7.85,7.7531795501709
8.06,7.99817943572998
8.06,7.49281120300293
8.17,8.23322677612305
6.31,7.54472637176514
6.48,7.69772624969482
7.31,7.92722654342651
6.85,7.04870986938477
6.44,6.5691704750061
6.51,6.41167020797729
6.18,6.76282024383545
7.97,7.96658182144165
8.15,8.17658233642578
8.68,8.75458240509033
9.12,8.75458240509033
9.11,8.75458240509033
8.76,8.75458240509033
9.11,8.75458240509033
9.31,8.77685260772705
8.36,7.95896863937378
8.03,7.97510862350464
8.42,9.09250164031982
8.3,9.13850212097168
8.49,9.18450164794922
9.16,9.4605016708374
9.56,9.13850212097168
7.96,7.98610925674438
8.88,8.50576210021973
8.92,8.60076236724854
8.98,8.93326187133789
8.02,8.42446899414062
8.21,8.61446952819824
8.22,8.7569694519043
8.98,8.9469690322876
9.13,9.18446922302246
8.45,7.79286289215088
8.37,7.98286294937134
7.4,7.46036291122437
8.47,7.79286289215088
8.53,7.98286294937134
8.33,7.99470233917236
8.41,8.23220252990723
8.21,7.67134666442871
8.37,8.00384616851807
7.33,7.57468366622925
7.47,7.66968393325806
6.58,6.46469640731812
8.87,8.43788909912109
8.08,8.19288921356201
8.26,7.99497842788696
8.26,8.06497859954834
8.29,8.16997814178467
6.76,10.3880004882812
7.59,7.96076583862305
6.4,6.30603361129761
6.14,6.67524719238281
6.25,6.11859130859375
6.43,6.32859134674072
6.05,6.29891300201416
7.1,7.61296319961548
7.97,7.70796346664429
8.21,8.37296295166016
8.11,7.8041558265686
8.29,8.13665580749512
7.54,7.60655069351196
7.99,7.70155096054077
8.45,8.12905025482178
8.36,8.36655044555664
8.12,7.83797645568848
8.58,8.17047691345215
8.42,8.40797710418701
7.61,7.73942756652832
8.36,7.65357160568237
8.64,8.41357135772705
7.48,7.69797325134277
7.87,8.03047370910645
6.75,6.67278814315796
7.14,7.40233564376831
6.98,6.86232137680054
6.8,6.7413215637207
6.8,6.86232137680054
7.96,7.77811717987061
7.08,7.17090129852295
7.32,7.79190111160278
6.35,7.31467199325562
6.91,7.50467205047607
8.15,7.64717197418213
7.29,7.83717203140259
8.4,7.89623165130615
7.94,8.32373142242432
8.05,8.10570049285889
8.61,8.02655982971191
8.64,8.07753562927246
8.35,8.41003513336182
7.31,7.93675756454468
8.72,8.12675762176514
8.31,8.69675731658936
8.72,8.57291412353516
9.23,9.2158203125
8.31,8.0370397567749
8.53,8.12730979919434
8.22,8.36863040924072
8.32,8.36863040924072
9.16,8.56498146057129
9.39,8.68498229980469
7.99,8.42080879211426
8.33,8.42080879211426
9.21,8.18213844299316
9.27,8.567138671875
8.07,7.82301950454712
8.33,8.30301952362061
8.11,8.03302001953125
8.24,7.90561151504517
8.13,8.11561107635498
8.38,8.19205474853516
8.28,8.30205535888672
7.81,8.38455486297607
8.33,8.2221155166626
8.56,8.71211528778076
7.14,6.73940563201904
6,6.73940563201904
6.81,6.73940563201904
6.61,6.39945459365845
5.93,6.39945459365845
6.15,6.69955158233643
6.11,6.69955158233643
7.9,8.04957294464111
9.41,8.75657272338867
6.25,8.15159797668457
7.67,8.25259780883789
8.19,8.40409851074219
7.78,8.25259780883789
8.11,8.18679618835449
8.86,8.61429691314697
9.22,8.23048496246338
9.36,8.482985496521
7.19,7.29812335968018
6.67,7.29812335968018
7.15,7.29812335968018
6.4,6.61589908599854
7.33,7.64912605285645
7.4,7.55912590026855
7.36,7.64291763305664
7.98,8.25031089782715
9.19,9.05398654937744
8.57,9.23348522186279
7.9,7.36766767501831
8.02,8.39978218078613
7.91,7.91873121261597
6.06,8.18873119354248
7.87,7.91873121261597
8.14,8.0687313079834
7.59,7.49095678329468
7.65,7.5599570274353
8.13,8.85579013824463
8.99,9.0972900390625
8.51,8.27848529815674
8.53,8.1975212097168
6.95,6.79760837554932
7.01,6.92760801315308
