"SiteID","Easting","Northing","Depth","Stratify","Transect","RockFrag","pH_H2O","EC","OC","P_Olsen","PBI","Exch_Ca","Exch_Mg","Exch_K","Exch_Na","Exch_Acid","Exch_Sum","ECEC","BaseSat","ESP","Ca_Mg","ECEC_Clay","Sand","Silt","Clay"
1000,819755,2281364,5,4,1000,0,7.85,0.224,1.85,52.3,93,9.48,3.82,2.05,0.16,0,15.51,15.51,100,1.06,2.5,0.8,47.2,33.4,19.4
1000,819755,2281364,15,4,1000,0,8.28,0.226,1.4,NA,76,12.1,NA,NA,NA,NA,21.6,21.81,100,3.75,4.5,0.85,39,34.3,26.7
1000,819755,2281364,25,4,1000,0,8.29,0.277,1.28,NA,66,12.57,NA,NA,NA,NA,20.1,20.36,100,4.64,4.7,0.82,41.3,36.3,22.4
1000,819755,2281364,40,4,1000,0,8.34,0.255,1.09,NA,73,11.55,NA,NA,NA,NA,20.56,20.83,100,4.71,3.6,0.73,39.5,34.9,25.6
1000,819755,2281364,60,4,1000,0,8.24,0.27,1.09,NA,77,11.37,NA,NA,NA,NA,21.79,21.98,100,4.07,5.5,0.74,28.7,34.1,37.2
1000,819755,2281364,85,4,1000,0,8.57,0.24,0.31,NA,72,6.48,NA,NA,NA,NA,15.61,16.07,100,6.21,3.2,0.99,53.9,26.1,19.9
1001,819750,2281364,5,4,1000,0,8.11,0.16,1.17,NA,90,13.78,NA,NA,NA,NA,23.67,23.64,100,2.01,3.4,1.2,28.3,39.7,32.1
1001,819750,2281364,15,4,1000,0,8.06,0.188,1.23,NA,84,14.7,NA,NA,NA,NA,24.36,24.17,100,1.97,3.6,1.11,28.8,41.5,29.8
1001,819750,2281364,25,4,1000,0,8.4,0.223,1.12,NA,77,13.51,NA,NA,NA,NA,22.82,22.7,100,4.54,3.6,1.08,32.5,40.3,27.3
1001,819750,2281364,40,4,1000,1,8.69,NA,0.99,NA,74,14.44,NA,NA,NA,NA,22.63,22.73,NA,NA,4,0.88,39.6,32.2,28.2
1001,819750,2281364,60,4,1000,0,8.29,0.22,0.6,NA,85,8.33,NA,NA,NA,NA,19.56,19.66,100,3.73,6.1,1.16,38.5,33.7,27.8
1001,819750,2281364,85,4,1000,0,8.19,0.157,0.78,NA,79,13.85,NA,NA,NA,NA,20.76,20.75,100,2.31,7.2,1.12,39.4,30.8,29.7
1002,819713,2281367,5,4,1000,1,8.38,0.136,0.57,NA,54,8.08,NA,NA,NA,NA,13.65,14.1,100,2.66,2.8,1.18,61.8,30.7,7.6
1002,819713,2281367,15,4,1000,3,8.38,0.163,0.77,NA,61,11.35,NA,NA,NA,NA,17.29,17.66,100,3.2,3,1.15,49.8,35.7,14.5
1002,819713,2281367,25,4,1000,1,8.42,0.183,0.61,NA,51,10.45,NA,NA,NA,NA,16.28,16.66,100,3.81,3.3,1.18,55.7,34.1,10.2
1002,819713,2281367,40,4,1000,0,8.81,0.234,1.1,NA,80,12.41,NA,NA,NA,NA,22.49,22.43,100,7.83,3.1,0.93,32.5,32.8,34.7
1002,819713,2281367,60,4,1000,0,9.09,0.59,0.99,NA,83,12.83,NA,NA,NA,NA,23.16,23.05,100,28.24,4.5,1.18,27.3,38.5,34.2
1002,819713,2281367,85,4,1000,0,9.36,0.375,0.31,NA,52,6.61,NA,NA,NA,NA,9.91,10.51,100,20.88,3,1.03,59.4,23.9,16.6
1003,819560,2281311,5,4,1000,5,7.46,0.164,1.04,NA,59,11.18,NA,NA,NA,NA,17.5,17.78,100,0,3.1,0.91,51.3,33.6,15.2
1003,819560,2281311,15,4,1000,5,7.5,0.13,0.87,NA,58,11.42,NA,NA,NA,NA,16.41,16.56,100,0.03,3.2,0.96,54.4,32.1,13.5
1003,819560,2281311,25,4,1000,2,7.63,0.121,0.96,NA,71,12.53,NA,NA,NA,NA,19.44,19.42,100,0.52,3.1,0.78,47.4,34.2,18.4
1003,819560,2281311,40,4,1000,0,7.98,0.168,1.04,NA,70,13.16,NA,NA,NA,NA,20.7,20.6,100,1.49,3.8,0.8,37.5,37.6,24.8
1003,819560,2281311,60,4,1000,2,8.15,0.214,0.89,NA,75,15.29,NA,NA,NA,NA,24.18,23.93,100,2.71,4,0.9,38.5,32.6,28.9
1003,819560,2281311,85,4,1000,0,8.34,0.194,0.42,NA,73,12.11,NA,NA,NA,NA,17.2,17.22,100,3.59,3.8,0.65,49.5,30.6,19.9
1004,819270,2281222,5,4,1000,0,7.33,0.161,0.58,NA,74,10.11,NA,NA,NA,NA,15.69,15.95,100,0,4.1,0.8,51.5,24.2,24.3
1004,819270,2281222,15,4,1000,0,8.18,0.212,0.38,NA,69,7.58,NA,NA,NA,NA,15.37,15.74,100,2.88,3.4,0.68,51,22.4,26.6
1004,819270,2281222,25,4,1000,0,8.29,0.145,0.34,NA,78,10.64,NA,NA,NA,NA,16.74,16.84,100,2.53,3.4,0.76,48.8,23.9,27.4
1004,819270,2281222,40,4,1000,0,8.14,0.141,0.24,NA,76,10.44,NA,NA,NA,NA,15.7,16.07,100,1.96,3.6,0.58,50.5,23.2,26.3
1004,819270,2281222,60,4,1000,0,8.46,0.149,0.22,NA,94,10.61,NA,NA,NA,NA,16.29,16.63,100,3.22,1.8,0.81,40.4,25.2,34.4
1004,819270,2281222,85,4,1000,0,8.7,0.245,0.29,NA,73,12.86,NA,NA,NA,NA,15.91,16.11,100,7.39,3.4,0.67,38.1,26,36
1005,776235,2285355,5,2,1005,30,8.34,0.121,0.91,NA,93,12.4,NA,NA,NA,NA,17.86,18.48,100,2.27,7.9,1.63,55.9,33.8,10.3
1005,776235,2285355,15,2,1005,40,8.56,0.077,0.56,2.6,59,14.37,1.44,0.11,0.1,0,16.02,16.02,100,0.62,10,1.49,74.9,14.3,10.8
1005,776235,2285355,25,2,1005,40,8.25,0.135,0.51,NA,90,16.75,NA,NA,NA,NA,18.96,18.92,100,2.24,11.2,1.4,62.7,26.6,10.7
1005,776235,2285355,40,2,1005,100,8.31,0.131,0.36,NA,115,12.58,NA,NA,NA,NA,18.9,18.59,100,2.36,9.3,1.58,64.1,27.4,8.5
1005,776235,2285355,60,2,1005,100,8.78,0.077,0.31,2,269,12.1,1.94,0.09,0.1,0,14.22,14.22,100,0.7,6.3,1.91,71,21.5,7.5
1005,776235,2285355,80,2,1005,100,8.78,0.071,0.19,3.2,170,15.33,3.46,0.12,0.11,0,19.02,19.02,100,0.6,4.4,3.13,55,38.9,6.1
1006,776231,2285353,5,2,1005,5,8.42,0.128,0.62,NA,107,14.16,NA,NA,NA,NA,17.53,17.86,100,2.61,7.8,1.53,48.4,37.2,14.4
1006,776231,2285353,15,2,1005,3,8.43,0.123,0.63,NA,99,13.39,NA,NA,NA,NA,16.88,17.3,100,2.53,8,1.57,52,34.9,13.1
1006,776231,2285353,25,2,1005,5,8.38,0.127,0.51,NA,117,15.7,NA,NA,NA,NA,16.62,16.76,100,2.48,6.9,1.46,58.9,30.2,10.9
1006,776231,2285353,40,2,1005,5,8.38,0.14,NA,NA,87,8.87,NA,NA,NA,NA,15.91,15.76,100,2.74,5.9,2.33,79.6,18.4,2
1006,776231,2285353,60,2,1005,NA,8.47,0.182,0.47,NA,165,10.79,NA,NA,NA,NA,15.03,14.81,100,4.05,4.7,1.55,55.6,32.8,11.6
1006,776231,2285353,80,2,1005,100,8.67,0.145,0.27,NA,153,5.21,NA,NA,NA,NA,12.27,12.26,100,3.86,3.7,1.73,67.9,25,7.1
1007,776190,2285338,5,2,1005,35,8.35,0.164,0.76,NA,95,12.96,NA,NA,NA,NA,15.67,16.01,100,3.09,5.8,0.93,46.4,36.4,17.2
1007,776190,2285338,15,2,1005,35,8.35,0.15,0.62,NA,139,10.81,NA,NA,NA,NA,15.12,15.47,100,2.83,2.9,1.05,40.7,39.4,19.9
1007,776190,2285338,25,2,1005,50,8.29,0.202,0.61,NA,110,12.57,NA,NA,NA,NA,17.53,18.15,100,3.44,4.7,0.94,24.4,41.1,34.4
1007,776190,2285338,40,2,1005,60,8.33,0.195,0.52,NA,115,10.02,NA,NA,NA,NA,15.59,16.4,100,3.56,3.6,1.02,19.1,43.9,37
1007,776190,2285338,60,2,1005,60,8.46,0.232,0.42,NA,111,7.85,NA,NA,NA,NA,14.91,15.61,100,5.17,3,1.1,17.8,44.8,37.4
1007,776190,2285338,80,2,1005,73.33333333,8.82,0.277,0.43,NA,99,8.63,NA,NA,NA,NA,16.87,17.73,100,9.6,4.7,1.1,21.3,40.9,37.7
